Date,NewPositive,Tested,Nt,Ct,nt,ct,Dnt,Dct,Weekday,Month,Year,Day
2020-11-28,      1.160,     56.611,56611,1160,10.943958591598234,7.05617528410041,-0.24284884642995586,-0.12996902042191483,Saturday,November,2020,6
2020-11-29,      1.177,     58.069,58069,1177,10.969387237621987,7.0707241072602764,0.025428646023753387,0.014548823159866053,Sunday,November,2020,7
2020-11-30,      1.553,     80.796,80796,1553,11.299682738333281,7.347943823148687,0.3302955007112942,0.27721971588841043,Monday,November,2020,1
2020-12-01,      1.724,     82.561,82561,1724,11.321292693045136,7.452402451223638,0.02160995471185423,0.10445862807495132,Tuesday,December,2020,2
2020-12-02,      1.890,     84.882,84882,1890,11.34901733568699,7.5443321080536885,0.027724642641853592,0.09192965683005028,Wednesday,December,2020,3
2020-12-03,      1.925,     88.425,88425,1925,11.389910014073681,7.562681246721884,0.04089267838669208,0.018349138668195764,Thursday,December,2020,4
2020-12-04,      2.036,     81.879,81879,2036,11.31299782670602,7.618742377670413,-0.07691218736766103,0.05606113094852905,Friday,December,2020,5
2020-12-05,      1.722,     63.397,63397,1722,11.05717182069377,7.451241684987676,-0.25582600601225103,-0.16750069268273737,Saturday,December,2020,6
2020-12-06,      1.985,     69.187,69187,1985,11.144568262685945,7.59337419312129,0.08739644199217622,0.14213250813361444,Sunday,December,2020,7
2020-12-07,      2.765,     98.386,98386,2765,11.49665379649533,7.9247959139564355,0.3520855338093849,0.3314217208351451,Monday,December,2020,1
2020-12-08,      3.138,    110.530,110530,3138,11.613042256305,8.051340933292979,0.11638845980967005,0.12654501933654316,Tuesday,December,2020,2
2020-12-09,      3.202,    109.653,109653,3202,11.605076113252885,8.07153089355666,-0.007966143052115626,0.02018996026368214,Wednesday,December,2020,3
2020-12-10,      3.305,    109.673,109673,3305,11.605258490171767,8.103191752285786,0.00018237691888245422,0.03166085872912561,Thursday,December,2020,4
2020-12-11,      3.314,    102.378,102378,3314,11.53642712475532,8.105911197986508,-0.06883136541644674,0.002719445700721579,Friday,December,2020,5
2020-12-12,      3.098,     85.552,85552,3098,11.356879657188513,8.038512020976814,-0.17954746756680784,-0.067399177009694,Saturday,December,2020,6
2020-12-13,      3.172,     86.855,86855,3172,11.371995340536024,8.06211758275474,0.015115683347511677,0.023605561777925388,Sunday,December,2020,7
2020-12-14,      4.007,    122.595,122595,4007,11.71664151861834,8.295798110636145,0.344646178082316,0.2336805278814058,Monday,December,2020,1
2020-12-15,      4.316,    134.499,134499,4316,11.809312043052154,8.370084326378025,0.09267052443381374,0.07428621574188021,Tuesday,December,2020,2
2020-12-16,      4.408,    136.603,136603,4408,11.824834187810318,8.391176350832751,0.015522144758163492,0.02109202445472569,Wednesday,December,2020,3
2020-12-17,      3.635,    133.888,133888,3635,11.804758908544486,8.19836438996762,-0.02007527926583208,-0.19281196086513042,Thursday,December,2020,4
2020-12-18,      3.151,    130.245,130245,3151,11.777172571162856,8.055475141757274,-0.027586337381629633,-0.14288924821034676,Friday,December,2020,5
2020-12-19,      2.765,    115.116,115116,2765,11.653695594605948,7.9247959139564355,-0.12347697655690837,-0.1306792278008384,Saturday,December,2020,6
2020-12-20,      2.465,    120.928,120928,2465,11.702950606149216,7.80994708647679,0.04925501154326817,-0.11484882747964509,Sunday,December,2020,7
2020-12-21,      3.115,    168.294,168294,3115,12.033467728919513,8.043984431221553,0.33051712277029743,0.23403734474476234,Monday,December,2020,1
2020-12-22,      2.893,    163.526,163526,2893,12.004727278083609,7.970049304976135,-0.028740450835904596,-0.07393512624541732,Tuesday,December,2020,2
2020-12-23,      3.097,    120.592,120592,3097,11.700168226083251,8.038189179973203,-0.30455905200035716,0.06813987499706808,Wednesday,December,2020,3
2020-12-24,      1.488,     38.867,38867,1488,10.567900840522974,7.305188215393037,-1.1322673855602776,-0.7330009645801665,Thursday,December,2020,4
2020-12-25,      1.608,     39.382,39382,1608,10.581064138105116,7.382746449738912,0.013163297582142519,0.07755823434587494,Friday,December,2020,5
2020-12-26,      2.697,     62.850,62850,2697,11.048506214018394,7.89989532313973,0.4674420759132776,0.517148873400818,Saturday,December,2020,6
2020-12-27,      2.196,     67.157,67157,2196,11.114788440747668,7.694392802629421,0.06628222672927464,-0.2055025205103087,Sunday,December,2020,7
2020-12-28,      3.094,    112.261,112261,3094,11.628581796348907,8.037220031133012,0.5137933556012388,0.34282722850359093,Monday,December,2020,1
2020-12-29,      2.500,    117.889,117889,2500,11.677498782766525,7.824046010856292,0.04891698641761799,-0.21317402027672028,Tuesday,December,2020,2
2020-12-30,      2.787,    111.380,111380,2787,11.62070305714366,7.932721027481948,-0.056795725622865945,0.10867501662565626,Wednesday,December,2020,3
2020-12-31,      1.238,     34.462,34462,1238,10.447612546703045,7.121252453244542,-1.1730905104406144,-0.8114685742374066,Thursday,December,2020,4
2021-01-01,      1.214,     32.021,32021,1214,10.374147216543994,7.101675971619444,-0.07346533015905088,-0.01957648162509784,Friday,January,2021,5
2021-01-02,      2.064,     73.454,73454,2064,11.204414638934717,7.6324011266014535,0.8302674223907225,0.5307251549820098,Saturday,January,2021,6
2021-01-03,      1.682,     65.623,65623,1682,11.09168152323904,7.427738840532894,-0.11273311569567568,-0.20466228606855985,Sunday,January,2021,7
2021-01-04,      2.484,    107.361,107361,2484,11.583952266618166,7.81762544305337,0.4922707433791249,0.3898866025204759,Monday,January,2021,1
2021-01-05,      1.938,    105.577,105577,1938,11.567195823501471,7.569411792450712,-0.01675644311669444,-0.24821365060265776,Tuesday,January,2021,2
2021-01-06,      1.667,     97.035,97035,1667,11.482827017146196,7.418780882750794,-0.08436880635527544,-0.15063090969991766,Wednesday,January,2021,3
2021-01-07,      1.593,     86.421,86421,1593,11.366985980814487,7.373374309910049,-0.11584103633170884,-0.04540657284074534,Thursday,January,2021,4
2021-01-08,      1.438,     76.570,76570,1438,11.245960634107169,7.271008538280992,-0.12102534670731835,-0.10236577162905647,Friday,January,2021,5
2021-01-09,      1.206,     53.521,53521,1206,10.887829379231441,7.095064377287131,-0.35813125487572783,-0.17594416099386123,Saturday,January,2021,6
2021-01-10,        999,     48.754,48754,999,10.794542524342022,6.906754778648554,-0.09328685488941879,-0.1883095986385772,Sunday,January,2021,7
2021-01-11,      1.364,     82.711,82711,1364,11.323107883049328,7.218176838403408,0.528565358707306,0.3114220597548538,Monday,January,2021,1
2021-01-12,      1.264,     86.191,86191,1264,11.364321042848184,7.142036574706803,0.04121315979885587,-0.07614026369660465,Tuesday,January,2021,2
2021-01-13,      1.124,     78.860,78860,1124,11.275429407431618,7.024649030453636,-0.08889163541656586,-0.11738754425316689,Wednesday,January,2021,3
2021-01-14,      1.016,    106.737,106737,1016,11.578123143815617,6.923628628138427,0.30269373638399877,-0.10102040231520881,Thursday,January,2021,4
2021-01-15,        858,    100.907,100907,858,11.521954579554748,6.754604099487962,-0.05616856426086869,-0.16902452865046502,Friday,January,2021,5
2021-01-16,        725,     77.360,77360,725,11.256225130127175,6.586171654854675,-0.2657294494275728,-0.16843244463328766,Saturday,January,2021,6
2021-01-17,        678,     75.273,75273,678,11.228876783750868,6.519147287940395,-0.02734834637630712,-0.06702436691427938,Sunday,January,2021,7
2021-01-18,        936,    111.395,111395,936,11.620837722164625,6.841615476477592,0.39196093841375657,0.3224681885371963,Monday,January,2021,1
2021-01-19,        920,    125.187,125187,920,11.737563898391212,6.824373670043086,0.11672617622658699,-0.017241806434505236,Tuesday,January,2021,2
2021-01-20,        781,    116.678,116678,781,11.667173282936568,6.660575149839686,-0.07039061545464342,-0.16379852020340024,Wednesday,January,2021,3
2021-01-21,        864,    126.729,126729,864,11.749806227253531,6.761572768804055,0.08263294431696266,0.1009976189643691,Thursday,January,2021,4
2021-01-22,        718,    113.152,113152,718,11.63648732655726,6.576469569048224,-0.11331890069627093,-0.18510319975583123,Friday,January,2021,5
2021-01-23,        594,     81.783,81783,594,11.311824677031566,6.386879319362645,-0.3246626495256937,-0.1895902496855788,Saturday,January,2021,6
2021-01-24,        517,     80.054,80054,517,11.290456685945982,6.248042874508429,-0.021367991085584848,-0.1388364448542161,Sunday,January,2021,7
2021-01-25,        725,    126.982,126982,725,11.751800623112295,6.586171654854675,0.4613439371663137,0.3381287803462456,Monday,January,2021,1
2021-01-26,        688,    123.901,123901,688,11.727238138609684,6.5337888379333435,-0.02456248450261178,-0.05238281692133118,Tuesday,January,2021,2
2021-01-27,        536,    117.644,117644,536,11.675418394129997,6.284134161070802,-0.05181974447968685,-0.2496546768625416,Wednesday,January,2021,3
2021-01-28,        511,    138.737,138737,511,11.84033533352546,6.236369590203704,0.1649169393954626,-0.04776457086709751,Thursday,January,2021,4
2021-01-29,        406,    118.175,118175,406,11.679921855661437,6.0063531596017325,-0.16041347786402227,-0.23001643060197186,Friday,January,2021,5
2021-01-30,        364,     83.169,83169,364,11.32862996122426,5.8971538676367405,-0.35129189443717657,-0.109199291964992,Saturday,January,2021,6
2021-01-31,        388,     77.543,77543,388,11.25858790018503,5.961005339623274,-0.07004206103922961,0.06385147198653307,Sunday,January,2021,7
2021-02-01,        507,    128.098,128098,507,11.760550874960446,6.2285110035911835,0.5019629747754148,0.26750566396790987,Monday,February,2021,1
2021-02-02,        488,    119.525,119525,488,11.691280833494304,6.1903154058531475,-0.06927004146614202,-0.038195597738035936,Tuesday,February,2021,2
2021-02-03,        432,    115.171,115171,432,11.654173259441963,6.068425588244111,-0.03710757405234055,-0.12188981760903683,Wednesday,February,2021,3
2021-02-04,        443,    148.438,148438,443,11.907922641626477,6.093569770045136,0.25374938218451426,0.025144181801024956,Thursday,February,2021,4
2021-02-05,        410,    132.806,132806,410,11.796644695726744,6.016157159698354,-0.11127794589973306,-0.07741261034678182,Friday,February,2021,5
2021-02-06,        432,     91.274,91274,432,11.421621250561328,6.068425588244111,-0.3750234451654162,0.05226842854575686,Saturday,February,2021,6
2021-02-07,        389,     78.960,78960,389,11.276696674107363,5.963579343618446,-0.14492457645396506,-0.10484624462566483,Sunday,February,2021,7
2021-02-08,        445,    128.813,128813,445,11.76611701923615,6.09807428216624,0.48942034512878685,0.13449493854779426,Monday,February,2021,1
2021-02-09,        460,    118.727,118727,460,11.684582018927152,6.131226489483141,-0.08153500030899785,0.03315220731690083,Tuesday,February,2021,2
2021-02-10,        447,    122.961,122961,447,11.719622510905497,6.102558594613569,0.03504049197834469,-0.028667894869571775,Wednesday,February,2021,3
2021-02-11,        376,    152.941,152941,376,11.937807505088674,5.929589143389895,0.2181849941831775,-0.17296945122367458,Thursday,February,2021,4
2021-02-12,        316,    131.567,131567,316,11.78727150654942,5.755742213586912,-0.15053599853925448,-0.17384692980298233,Friday,February,2021,5
2021-02-13,        335,     90.105,90105,335,11.408730935952372,5.814130531825066,-0.37854057059704793,0.058388318238153936,Saturday,February,2021,6
2021-02-14,        341,     84.946,84946,341,11.34977103946999,5.831882477283517,-0.058959896482381424,0.017751945458450713,Sunday,February,2021,7
2021-02-15,        403,    130.691,130691,403,11.780591037256658,5.998936561946683,0.43081999778666713,0.16705408466316563,Monday,February,2021,1
2021-02-16,        522,    124.600,124600,522,11.73286388533549,6.257667587882639,-0.04772715192116728,0.25873102593595654,Tuesday,February,2021,2
2021-02-17,        512,    124.136,124136,512,11.72913301776332,6.238324625039508,-0.0037308675721696716,-0.019342962843131417,Wednesday,February,2021,3
2021-02-18,        546,    153.808,153808,546,11.943460350305598,6.302618975744905,0.2143273325422772,0.06429435070539746,Thursday,February,2021,4
2021-02-19,        459,    128.792,128792,459,11.76595397892213,6.129050210060545,-0.17750637138346725,-0.17356876568435986,Friday,February,2021,5
2021-02-20,        434,     97.624,97624,434,11.488878643811676,6.073044534100405,-0.2770753351104549,-0.05600567596014017,Saturday,February,2021,6
2021-02-21,        475,     96.919,96919,475,11.481630857089367,6.163314804034641,-0.0072477867223081915,0.09027026993423615,Sunday,February,2021,7
2021-02-22,        593,    148.824,148824,593,11.910519678697824,6.385194398997726,0.42888882160845654,0.22187959496308451,Monday,February,2021,1
2021-02-23,        604,    139.626,139626,604,11.846722698387037,6.403574197934815,-0.06379698031078718,0.018379798937089298,Tuesday,February,2021,2
2021-02-24,        541,    135.900,135900,541,11.819674600139235,6.293419278846481,-0.027048098247801633,-0.11015491908833397,Wednesday,February,2021,3
