"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"sort_Var";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2021-U06;16-19;2. stik;0;2;184;0,00
2021-U06;16-19;3. stik;0;3;0;0,00
2021-U06;20-39;Uvaccinerede;854;0;1460479;58,47
2021-U06;20-39;1. stik;14;1;26523;52,78
2021-U06;20-39;2. stik;1;2;8570;11,67
2021-U06;20-39;3. stik;0;3;0;0,00
2021-U06;40-64;Uvaccinerede;923;0;1827173;50,52
2021-U06;40-64;1. stik;27;1;57996;46,55
2021-U06;40-64;2. stik;1;2;22055;4,53
2021-U06;40-64;3. stik;0;3;0;0,00
2021-U06;65-79;Uvaccinerede;207;0;855656;24,19
2021-U06;65-79;1. stik;16;1;24374;65,64
2021-U06;65-79;2. stik;1;2;7356;13,59
2021-U06;65-79;3. stik;0;3;0;0,00
2021-U06;80+;Uvaccinerede;54;0;214495;25,18
2021-U06;80+;1. stik;14;1;34768;40,27
2021-U06;80+;2. stik;5;2;10376;48,19
2021-U06;80+;3. stik;0;3;0;0,00
2021-U07;5-11;Uvaccinerede;347;0;436557;79,49
2021-U07;5-11;1. stik;0;1;1;0,00
2021-U07;5-11;2. stik;0;2;0;0,00
2021-U07;5-11;3. stik;0;3;0;0,00
2021-U07;12-15;Uvaccinerede;152;0;299015;50,83
2021-U07;12-15;1. stik;0;1;7;0,00
2021-U07;12-15;2. stik;0;2;2;0,00
2021-U07;12-15;3. stik;0;3;0;0,00
2021-U07;16-19;Uvaccinerede;210;0;278354;75,44
2021-U07;16-19;1. stik;0;1;782;0,00
2021-U07;16-19;2. stik;0;2;469;0,00
2021-U07;16-19;3. stik;0;3;0;0,00
2021-U07;20-39;Uvaccinerede;1091;0;1451658;75,16
2021-U07;20-39;1. stik;19;1;24804;76,60
2021-U07;20-39;2. stik;3;2;19111;15,70
2021-U07;20-39;3. stik;0;3;1;0,00
2021-U07;40-64;Uvaccinerede;1065;0;1809891;58,84
2021-U07;40-64;1. stik;15;1;48061;31,21
2021-U07;40-64;2. stik;9;2;49272;18,27
2021-U07;40-64;3. stik;0;3;0;0,00
2021-U07;65-79;Uvaccinerede;222;0;851527;26,07
2021-U07;65-79;1. stik;3;1;18744;16,01
2021-U07;65-79;2. stik;5;2;17116;29,21
2021-U07;65-79;3. stik;0;3;0;0,00
