"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"sort_Var";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-U19;80+;Uvaccinerede;4;0;13411;29,83
2021-U19;80+;1. stik;0;1;28249;0,00
2021-U19;80+;2. stik;4;2;217965;1,84
2021-U20;5-11;Uvaccinerede;2;0;436555;0,46
2021-U20;12-15;Uvaccinerede;1;0;298877;0,33
2021-U20;12-15;1. stik;0;1;77;0,00
2021-U20;12-15;2. stik;0;2;71;0,00
2021-U20;16-19;Uvaccinerede;2;0;274236;0,73
2021-U20;16-19;1. stik;0;1;2569;0,00
2021-U20;16-19;2. stik;0;2;2799;0,00
2021-U20;20-39;Uvaccinerede;52;0;1368024;3,80
2021-U20;20-39;1. stik;1;1;61841;1,62
2021-U20;20-39;2. stik;1;2;65681;1,52
2021-U20;20-39;3. stik;1;3;26;3846,15
2021-U20;40-64;Uvaccinerede;116;0;1380238;8,40
2021-U20;40-64;1. stik;4;1;360940;1,11
2021-U20;40-64;2. stik;0;2;165985;0,00
2021-U20;40-64;3. stik;0;3;61;0,00
2021-U20;65-79;Uvaccinerede;3;0;66537;4,51
2021-U20;65-79;1. stik;10;1;518933;1,93
2021-U20;65-79;2. stik;3;2;301889;0,99
2021-U20;65-79;3. stik;0;3;28;0,00
2021-U20;80+;Uvaccinerede;1;0;12651;7,90
2021-U20;80+;1. stik;0;1;16163;0,00
2021-U20;80+;2. stik;3;2;230810;1,30
2021-U21;5-11;Uvaccinerede;2;0;436554;0,46
2021-U21;12-15;Uvaccinerede;1;0;298851;0,33
2021-U21;12-15;1. stik;0;1;100;0,00
2021-U21;12-15;2. stik;0;2;75;0,00
2021-U21;16-19;Uvaccinerede;4;0;272730;1,47
2021-U21;16-19;1. stik;0;1;3664;0,00
2021-U21;16-19;2. stik;0;2;3209;0,00
2021-U21;20-39;Uvaccinerede;49;0;1365021;3,59
2021-U21;20-39;1. stik;1;1;54522;1,83
2021-U21;20-39;2. stik;1;2;76000;1,32
2021-U21;20-39;3. stik;0;3;30;0,00
2021-U21;40-64;Uvaccinerede;96;0;1169288;8,21
2021-U21;40-64;1. stik;14;1;549815;2,55
2021-U21;40-64;2. stik;1;2;188049;0,53
2021-U21;40-64;3. stik;0;3;72;0,00
2021-U21;65-79;Uvaccinerede;7;0;52253;13,40
2021-U21;65-79;1. stik;9;1;391461;2,30
2021-U21;65-79;2. stik;3;2;443642;0,68
2021-U21;65-79;3. stik;0;3;31;0,00
2021-U21;80+;Uvaccinerede;0;0;12020;0,00
2021-U21;80+;1. stik;0;1;8855;0,00
2021-U21;80+;2. stik;4;2;238749;1,68
2021-U22;12-15;Uvaccinerede;2;0;298834;0,67
2021-U22;12-15;1. stik;0;1;112;0,00
2021-U22;12-15;2. stik;0;2;79;0,00
2021-U22;16-19;Uvaccinerede;3;0;263210;1,14
2021-U22;16-19;1. stik;0;1;12660;0,00
2021-U22;16-19;2. stik;0;2;3733;0,00
2021-U22;20-39;Uvaccinerede;46;0;1358346;3,39
2021-U22;20-39;1. stik;0;1;47749;0,00
2021-U22;20-39;2. stik;3;2;89445;3,35
2021-U22;20-39;3. stik;0;3;33;0,00
2021-U22;40-64;Uvaccinerede;69;0;932373;7,40
2021-U22;40-64;1. stik;18;1;759272;2,37
2021-U22;40-64;2. stik;3;2;215501;1,39
2021-U22;40-64;3. stik;0;3;79;0,00
2021-U22;65-79;Uvaccinerede;6;0;44912;13,36
2021-U22;65-79;1. stik;4;1;281969;1,42
2021-U22;65-79;2. stik;3;2;560472;0,54
2021-U22;65-79;3. stik;0;3;34;0,00
2021-U22;80+;Uvaccinerede;1;0;11466;8,72
2021-U22;80+;1. stik;0;1;6609;0,00
2021-U22;80+;2. stik;7;2;241547;2,90
2021-U23;5-11;Uvaccinerede;1;0;436547;0,23
2021-U23;12-15;Uvaccinerede;5;0;298818;1,67
2021-U23;12-15;1. stik;0;1;125;0,00
2021-U23;12-15;2. stik;0;2;82;0,00
2021-U23;16-19;Uvaccinerede;3;0;218399;1,37
2021-U23;16-19;1. stik;1;1;56938;1,76
2021-U23;16-19;2. stik;0;2;4267;0,00
2021-U23;20-39;Uvaccinerede;29;0;1330499;2,18
2021-U23;20-39;1. stik;1;1;61570;1,62
2021-U23;20-39;2. stik;2;2;103468;1,93
2021-U23;20-39;3. stik;0;3;36;0,00
2021-U23;40-64;Uvaccinerede;53;0;705840;7,51
2021-U23;40-64;1. stik;22;1;959773;2,29
2021-U23;40-64;2. stik;4;2;241525;1,66
2021-U23;40-64;3. stik;0;3;87;0,00
2021-U23;65-79;Uvaccinerede;5;0;41361;12,09
2021-U23;65-79;1. stik;1;1;238966;0,42
2021-U23;65-79;2. stik;3;2;607024;0,49
2021-U23;65-79;3. stik;0;3;36;0,00
2021-U23;80+;Uvaccinerede;1;0;11087;9,02
2021-U23;80+;1. stik;0;1;5703;0,00
2021-U23;80+;2. stik;3;2;242830;1,24
2021-U23;80+;3. stik;0;3;20;0,00
2021-U24;5-11;Uvaccinerede;1;0;436545;0,23
2021-U24;12-15;Uvaccinerede;1;0;298800;0,33
2021-U24;12-15;1. stik;0;1;126;0,00
2021-U24;12-15;2. stik;0;2;99;0,00
2021-U24;16-19;Uvaccinerede;3;0;155254;1,93
2021-U24;16-19;1. stik;0;1;119721;0,00
2021-U24;16-19;2. stik;0;2;4629;0,00
2021-U24;20-39;Uvaccinerede;27;0;1267253;2,13
2021-U24;20-39;1. stik;1;1;111660;0,90
2021-U24;20-39;2. stik;2;2;116620;1,71
2021-U24;20-39;3. stik;0;3;40;0,00
2021-U24;40-64;Uvaccinerede;24;0;505990;4,74
2021-U24;40-64;1. stik;8;1;1135441;0,70
2021-U24;40-64;2. stik;5;2;265699;1,88
2021-U24;40-64;3. stik;0;3;94;0,00
2021-U24;65-79;Uvaccinerede;3;0;39049;7,68
2021-U24;65-79;1. stik;1;1;181261;0,55
2021-U24;65-79;2. stik;2;2;667036;0,30
